author,country,job
와야마 야마,일본,만화가
모건 하우절,미국,경제/경영칼럼니스트
사이토 다카시,일본,일본작가
최설민,대한민국,심리학자/상담학자
송길영,대한민국,인문학자
양귀자,전라북도 전주,소설가
소재원,전라북도 익산,소설가
백희나,서울특별시,아동동화작가
김창완,대한민국,가수
리처드 J. 라이더,정보 없음,자기계발/리더십컨설턴트
모건 하우절,미국,경제/경영칼럼니스트
패트릭 브링리,정보 없음,영미작가
멘탈 닥터 시도(Sidow),일본,정신과의사
마티아스 뇔케,독일,언론인
김선태,대한민국,공직자/공무원
토머스 S. 쿤,미국,물리학자
강산,정보 없음,시인
강용수,대한민국,철학자
ETS,정보 없음,영어
아오키 케이,정보 없음,만화가
ETS,정보 없음,영어
황현필,정보 없음,한국사강사
헤르만 헤세,독일,문학가
손원평,서울특별시,소설가
캐릭온TV,대한민국,유튜버
클레어 키건,아일랜드,영미작가
와야마 야마,일본,만화가
전극진,경상북도 칠곡,만화가
사이토 다카시,일본,일본작가
프리드리히 니체,독일,독일작가
세이노(SayNo),대한민국,자기계발/리더십컨설턴트
김상현,대한민국,수필가
강환국,대한민국,증권/주식투자전문가
류츠신,중국,중국작가
오평선,대한민국,자기계발/리더십컨설턴트
프란츠 카프카,체코,현대소설가
쇼펜하우어,독일,철학자
양유진,대한민국,유튜버
모리야 도모타카,일본,경영인/사업가
김멜라,서울특별시,소설가
스튜디오 훈훈,정보 없음,출판사
벤저민 하디,정보 없음,자기계발/리더십컨설턴트
에드 콘웨이,정보 없음,기자/PD
신현경,정보 없음,아동동화작가
요한 하리,정보 없음,영미작가
임경선,대한민국,수필가
홍인기,대한민국,증권/주식투자전문가
대릴 반 통게렌,정보 없음,대학/대학원 교수
데일 카네기,Missouri,자기계발/리더십컨설턴트
칼 세이건,New York,천문학자
흔한남매,대한민국,만화가
유동규,대한민국,정치/외교학자
채사장,서울특별시,인문학자
박종은,대한민국,아동문학가
David Cho,대한민국,영어강사
퍼포먼스 코치 리아,정보 없음,영어강사
셸리 리드,정보 없음,영미작가
도올(김용옥),충청남도 천안,만화가
나태주,충청남도 서천,시인
버지니아 사티어,정보 없음,심리치료사/카운셀러
정희원,정보 없음,의학자/의학박사
김승호,충청남도,경영인/사업가
조시 카우프만,정보 없음,경영컨설턴트
룰루 밀러,미국,과학/공학칼럼니스트
신민철(처리형),대한민국,증권/주식투자전문가
박시연,대한민국,아동만화가
크리스티나 퍼니발,정보 없음,아동문학가
이기주,대한민국,현대문학가
데일 카네기,Missouri,자기계발/리더십컨설턴트
유선경,정보 없음,방송작가
전국유로실버타운협회,정보 없음,건강
최송목,대한민국,경영컨설턴트
최태성,대한민국,한국사강사
칼 필레머,정보 없음,대학/대학원 교수
게리 켈러,정보 없음,경영인/사업가
김혜남,서울특별시,정신과의사
김재우,정보 없음,영어
프리드리히 니체,독일,독일작가
최재훈,대한민국,아동만화가
조승우,대한민국,교육가/교육학자
서동욱,서울특별시,시인
최태성,대한민국,한국사강사
한현근,대한민국,스포츠지도사
David Cho,대한민국,영어강사
클레어 키건,아일랜드,영미작가
로버트 기요사키,Hawaii,재테크전문가
EBS 자본주의 제작팀,대한민국,방송국
알랭 드 보통,스위스,현대문학가
장성락,대한민국,만화가
치과아저씨(팀 연세덴트),대한민국,치과의사
스티브 매그니스,정보 없음,컨설턴트
문가영,대한민국,영화배우
애슐리 워드,정보 없음,대학/대학원 교수
송민섭(수페TV),대한민국,증권/주식투자전문가
삼성출판사 편집부,대한민국,아동학습서/한자
재레드 다이아몬드,미국,생물학자
김주환,대한민국,대학/대학원 교수
이은경,대한민국,초/중/고 교사
김혜순,대한민국,시인
이하영,정보 없음,의사/의료인
